Car,Class,Driver,Lap,Lap Time,Session Time,Flag,Location,S01,S02,S03
57,GTD,Russell Ward,4,01:49.8,07:30.5,Green,Track,27.896,50,31.881
12,GTD,Frankie Montecalvo,4,01:50.6,07:31.7,Green,Track,27.713,50.957,31.898
28,GTD,Daniel Morad,4,01:47.8,07:32.3,Green,Track,25.494,50.33,32.024
75,GTD,Kenny Habul,4,01:48.4,07:32.7,Green,Track,25.408,50.903,32.12
98,GTD,David Pittard,4,01:47.2,07:33.1,Green,Track,25.548,49.647,32.025
32,GTD,Mike Skeen,4,01:47.9,07:33.7,Green,Track,25.202,50.283,32.38
39,GTD,Corey Lewis,4,01:47.1,07:34.6,Green,Track,24.999,49.503,32.599
47,GTD,Giorgio Sernagiotto,4,01:46.6,07:35.2,Green,Track,25.374,49.316,31.865
44,GTD,John Potter,4,01:47.8,07:37.9,Green,Track,25.704,49.925,32.123
16,GTD,Ryan Hardwick,4,01:48.6,07:41.7,Green,Track,26.341,50.066,32.173
19,GTD,Bill Sweedler,4,01:48.7,07:41.7,Green,Track,26.041,50.188,32.478
34,GTD,James Sofronas,4,01:48.7,07:42.7,Green,Track,25.746,50.531,32.438
71,GTD,Misha Goikhberg,4,01:48.7,07:42.9,Green,Track,26.078,50.192,32.406
99,GTD,Nick Boulle,4,01:48.9,07:43.3,Green,Track,26.128,50.432,32.355
21,GTD,Luis Perez Companc,4,01:47.9,07:43.4,Green,Track,25.455,50.364,32.128
66,GTD,Till Bechtolsheimer,4,01:48.8,07:44.3,Green,Track,25.97,50.71,32.125
27,GTD,Ian James,4,01:49.0,07:44.7,Green,Track,26.327,50.43,32.201
96,GTD,Robby Foley,4,01:48.9,07:45.2,Green,Track,26.02,50.488,32.371
42,GTD,Don Yount,4,01:50.9,07:51.7,Green,Track,26.355,51.166,33.347
64,GTD,Ted Giovanis,4,01:54.6,08:03.5,Green,Track,27.059,52.286,35.257
59,GTD,Jon Miller,5,01:46.2,09:13.5,Green,Track,25.303,49.424,31.43
70,GTD,Frederik Schandorff,5,01:45.9,09:15.0,Green,Track,25.221,49.476,31.156
57,GTD,Russell Ward,5,01:46.0,09:16.5,Green,Track,25.059,49.399,31.56
28,GTD,Daniel Morad,5,01:46.5,09:18.8,Green,Track,25.306,49.563,31.608
12,GTD,Frankie Montecalvo,5,01:47.3,09:19.0,Green,Track,25.601,49.912,31.781
98,GTD,David Pittard,5,01:48.5,09:21.5,Green,Track,26.09,50.256,32.115
32,GTD,Mike Skeen,5,01:48.5,09:22.2,Green,Track,25.961,50.201,32.37
75,GTD,Kenny Habul,5,01:49.6,09:22.3,Green,Track,25.593,51.091,32.928
47,GTD,Giorgio Sernagiotto,5,01:47.5,09:22.7,Green,Track,25.318,49.901,32.288
39,GTD,Corey Lewis,5,01:48.5,09:23.1,Green,Track,25.291,50.775,32.458
44,GTD,John Potter,5,01:47.5,09:25.5,Green,Track,25.584,49.959,31.999
16,GTD,Ryan Hardwick,5,01:47.5,09:29.2,Green,Track,25.621,49.804,32.095
19,GTD,Bill Sweedler,5,01:49.1,09:30.8,Green,Track,26.281,50.529,32.247
34,GTD,James Sofronas,5,01:48.3,09:31.0,Green,Track,25.86,50.15,32.262
71,GTD,Misha Goikhberg,5,01:48.3,09:31.2,Green,Track,26.385,49.74,32.181
99,GTD,Nick Boulle,5,01:48.7,09:32.0,Green,Track,26.411,49.997,32.286
21,GTD,Luis Perez Companc,5,01:48.7,09:32.1,Green,Track,26.592,50.209,31.924
66,GTD,Till Bechtolsheimer,5,01:48.5,09:32.8,Green,Track,25.876,50.375,32.264
27,GTD,Ian James,5,01:48.4,09:33.1,Green,Track,25.997,50.543,31.89
96,GTD,Robby Foley,5,01:48.5,09:33.7,Green,Track,25.636,50.925,31.959
42,GTD,Don Yount,5,01:50.2,09:41.8,Green,Track,26.215,51.024,32.93
64,GTD,Ted Giovanis,5,01:53.1,09:56.6,Green,Track,27.222,52.236,33.669
59,GTD,Jon Miller,6,01:47.1,11:00.6,Green,Track,25.636,49.681,31.826
70,GTD,Frederik Schandorff,6,01:47.2,11:02.3,Green,Track,25.765,50.043,31.439
57,GTD,Russell Ward,6,01:46.6,11:03.1,Green,Track,25.149,49.678,31.786
28,GTD,Daniel Morad,6,01:46.5,11:05.3,Green,Track,25.077,49.702,31.765
12,GTD,Frankie Montecalvo,6,01:46.8,11:05.8,Green,Track,25.504,49.626,31.694
98,GTD,David Pittard,6,01:47.7,11:09.2,Green,Track,25.623,50.19,31.879
32,GTD,Mike Skeen,6,01:48.1,11:10.3,Green,Track,25.482,50.499,32.142
47,GTD,Giorgio Sernagiotto,6,01:47.9,11:10.6,Green,Track,25.765,50.686,31.483
75,GTD,Kenny Habul,6,01:49.6,11:11.8,Green,Track,25.992,51.274,32.29
39,GTD,Corey Lewis,6,01:49.3,11:12.4,Green,Track,25.484,51.775,32.002
44,GTD,John Potter,6,01:47.4,11:12.9,Green,Track,25.424,49.984,32.033
16,GTD,Ryan Hardwick,6,01:48.8,11:18.1,Green,Track,25.903,50.43,32.502
19,GTD,Bill Sweedler,6,01:48.8,11:19.6,Green,Track,25.877,50.469,32.441
71,GTD,Misha Goikhberg,6,01:48.9,11:20.1,Green,Track,26.05,50.748,32.103
34,GTD,James Sofronas,6,01:50.3,11:21.3,Green,Track,25.954,51.259,33.135
21,GTD,Luis Perez Companc,6,01:49.5,11:21.6,Green,Track,25.962,50.904,32.604
99,GTD,Nick Boulle,6,01:49.7,11:21.7,Green,Track,25.707,50.986,33.014
27,GTD,Ian James,6,01:49.1,11:22.2,Green,Track,26.376,50.595,32.165
66,GTD,Till Bechtolsheimer,6,01:49.5,11:22.3,Green,Track,26.018,50.832,32.62
96,GTD,Robby Foley,6,01:48.9,11:22.6,Green,Track,26.22,50.77,31.927
42,GTD,Don Yount,6,01:50.2,11:32.0,Green,Track,26.133,50.953,33.117
64,GTD,Ted Giovanis,6,01:55.4,11:52.0,Green,Track,28.695,52.814,33.868
59,GTD,Jon Miller,7,01:46.8,12:47.4,Green,Track,25.272,49.775,31.755
70,GTD,Frederik Schandorff,7,01:47.4,12:49.7,Green,Track,25.524,49.989,31.888
57,GTD,Russell Ward,7,01:47.2,12:50.3,Green,Track,25.559,49.72,31.929
28,GTD,Daniel Morad,7,01:46.7,12:52.0,Green,Track,25.374,49.561,31.813
12,GTD,Frankie Montecalvo,7,01:46.8,12:52.6,Green,Track,25.402,49.583,31.802
98,GTD,David Pittard,7,01:47.8,12:57.0,Green,Track,25.746,50.251,31.826
47,GTD,Giorgio Sernagiotto,7,01:48.2,12:58.8,Green,Track,25.434,50.689,32.061
32,GTD,Mike Skeen,7,01:48.6,12:58.9,Green,Track,25.402,50.492,32.69
75,GTD,Kenny Habul,7,01:48.4,13:00.2,Green,Track,25.404,50.604,32.352
39,GTD,Corey Lewis,7,01:47.8,13:00.2,Green,Track,25.624,49.98,32.232
44,GTD,John Potter,7,01:49.1,13:02.0,Green,Track,26.594,50.434,32.066
16,GTD,Ryan Hardwick,7,01:49.0,13:07.0,Green,Track,26.246,50,32.705
19,GTD,Bill Sweedler,7,01:48.1,13:07.7,Green,Track,25.764,50.314,32.042
71,GTD,Misha Goikhberg,7,01:47.8,13:07.9,Green,Track,25.447,50.354,31.961
34,GTD,James Sofronas,7,01:48.4,13:09.7,Green,Track,25.475,50.344,32.581
99,GTD,Nick Boulle,7,01:48.4,13:10.1,Green,Track,25.93,50.168,32.273
27,GTD,Ian James,7,01:48.4,13:10.6,Green,Track,25.974,50.254,32.132
96,GTD,Robby Foley,7,01:48.6,13:11.3,Green,Track,26.041,50.6,31.98
66,GTD,Till Bechtolsheimer,7,01:49.6,13:11.9,Green,Track,26.312,51.038,32.292
42,GTD,Don Yount,7,01:50.2,13:22.2,Green,Track,25.855,51.383,32.941
21,GTD,Luis Perez Companc,7,02:03.2,13:24.8,Green,Track,25.764,65.512,31.878
64,GTD,Ted Giovanis,7,01:56.3,13:48.3,Green,Track,28.125,54.14,34.01
59,GTD,Jon Miller,8,01:47.5,14:34.9,Green,Track,26.04,49.685,31.772
70,GTD,Frederik Schandorff,8,01:48.8,14:38.5,Green,Track,26.041,50.854,31.938
57,GTD,Russell Ward,8,01:49.0,14:39.3,Green,Track,26.253,50.63,32.116
28,GTD,Daniel Morad,8,01:48.0,14:40.0,Green,Track,25.733,50.361,31.905
12,GTD,Frankie Montecalvo,8,01:48.0,14:40.6,Green,Track,25.766,50.526,31.714
98,GTD,David Pittard,8,01:48.3,14:45.4,Green,Track,26.109,49.754,32.464
